name,taskid,kind,started,resolved,locale
balrog-sq-macosx64-shippable/opt,BMhkY3M-SAepEKo8U7b0Ow,balrog,2019-06-18 00:00:26.773000+00:00,2019-06-18 00:00:41.875000+00:00,
partials-signing-wo-macosx64-shippable/opt,BN96QL1gSiKrnQm1OCsvTA,partials-signing,2019-06-17 23:39:45.324000+00:00,2019-06-17 23:39:59.278000+00:00,
mar-signing-macosx64-shippable/opt,BN9jmMn7S4KN-U1ClZeXcQ,mar-signing,2019-06-17 23:09:52.768000+00:00,2019-06-17 23:10:09.791000+00:00,
mar-signing-l10n-ur-win64-shippable/opt,BNFoa5BMSiCygcd6tNk9Fg,mar-signing-l10n,2019-06-18 01:00:37.099000+00:00,2019-06-18 01:00:48.941000+00:00,
repackage-signing-l10n-is-win64-aarch64-shippable/opt,BNSyrNjGT3aNAZtnX3-4ew,repackage-signing-l10n,2019-06-18 01:09:59.592000+00:00,2019-06-18 01:11:05.158000+00:00,
partials-signing-tr-linux-shippable/opt,BN_k32IXTs22G1KlOeoQJw,partials-signing,2019-06-18 00:36:47.103000+00:00,2019-06-18 00:37:02.821000+00:00,
balrog-rm-win64-aarch64-shippable/opt,BOuQWqoNS8m7N7PBO-5x9g,balrog,2019-06-18 01:26:17.056000+00:00,2019-06-18 01:26:32.897000+00:00,
repackage-l10n-oc-linux64-shippable/opt,BQ_uaXOZRc2lzHqfLJv12A,repackage-l10n,2019-06-17 23:59:25.494000+00:00,2019-06-18 00:01:08.859000+00:00,
beetmover-repackage-ast-linux-shippable/opt,BQon4-EwT9OTruKFNRKXCg,beetmover-repackage,2019-06-18 00:34:47.288000+00:00,2019-06-18 00:36:05.271000+00:00,ast
repackage-l10n-de-macosx64-shippable/opt,BQxdGz66Qiqesd8I6MQ2qw,repackage-l10n,2019-06-17 23:45:45.180000+00:00,2019-06-17 23:49:26.820000+00:00,
repackage-signing-l10n-bs-win64-aarch64-shippable/opt,BQyzltdMT7q5tu-CzFCrUg,repackage-signing-l10n,2019-06-18 01:17:19.370000+00:00,2019-06-18 01:18:09.980000+00:00,
mar-signing-l10n-sk-win32-shippable/opt,BRKdHWFbT_C1G1g6x5TDzw,mar-signing-l10n,2019-06-18 00:58:23.577000+00:00,2019-06-18 00:58:35.617000+00:00,
mar-signing-l10n-ast-win64-shippable/opt,BRLq1qtHRA6qyyyWR4Dp_w,mar-signing-l10n,2019-06-18 01:02:08.204000+00:00,2019-06-18 01:02:19.864000+00:00,
beetmover-checksums-mk-win32-shippable/opt,BRgld2EgQpSbKD64QzBfoA,beetmover-checksums,2019-06-18 01:31:14.488000+00:00,2019-06-18 01:31:29.515000+00:00,mk
balrog-el-linux64-shippable/opt,BRp-3B5oQzyf8ITmHqt7kg,balrog,2019-06-18 00:28:30.978000+00:00,2019-06-18 00:28:45.527000+00:00,
repackage-msi-es-CL-win64-shippable/opt,BSAhUH0GS1GqTb33T2hZYw,repackage-msi,2019-06-18 01:09:20.786000+00:00,2019-06-18 01:17:06.105000+00:00,
beetmover-repackage-da-macosx64-shippable/opt,BS_Knp_NTruhmlUXOgjVSA,beetmover-repackage,2019-06-18 00:11:11.430000+00:00,2019-06-18 00:12:28.520000+00:00,da
mar-signing-l10n-si-macosx64-shippable/opt,BSxf1EAzRL6xHIzoCj-_0Q,mar-signing-l10n,2019-06-17 23:33:01.270000+00:00,2019-06-17 23:33:15.831000+00:00,
mar-signing-l10n-es-ES-win64-shippable/opt,BTJ-1RfRTKGYPmEV20xkog,mar-signing-l10n,2019-06-18 01:03:31.599000+00:00,2019-06-18 01:03:44.386000+00:00,
repackage-l10n-cy-win64-shippable/opt,BTbOpejJSRiBuB-hB6QAJg,repackage-l10n,2019-06-18 00:42:32.869000+00:00,2019-06-18 00:56:27.078000+00:00,
