name,taskid,kind,started,resolved
test-linux64/opt-raptor-wasm-misc-ion-firefox-e10s,BJozB7ChRqmLfgLkuEIBng,test,2019-06-17 10:46:59.831000+00:00,2019-06-17 10:53:19.312000+00:00
test-android-em-4.3-arm7-api-16/debug-mochitest-1proc-21,BKhYfauJSu-1w3PYYpwNhw,test,2019-06-17 10:47:19.722000+00:00,2019-06-17 11:50:20.714000+00:00
test-android-em-4.3-arm7-api-16/debug-mochitest-1proc-33,BLGQwdWlTSCl0_3vfCgMDA,test,2019-06-17 10:47:17.819000+00:00,2019-06-17 11:15:25.644000+00:00
test-linux64/debug-mochitest-browser-chrome-e10s-2,BLWSlV7_SIiy_EjymDTROA,test,2019-06-17 10:59:38.980000+00:00,2019-06-17 11:37:00.758000+00:00
test-linux64/debug-mochitest-e10s-7,BLkcdYHhQ2mJQEiIoBC1jg,test,2019-06-17 10:59:39.177000+00:00,2019-06-17 11:14:25.751000+00:00
test-windows10-64-ccov/debug-mochitest-webgl2-ext-e10s-4,BLxiJQ_FQDywCVWC8IC9Sg,test,2019-06-17 11:55:15.150000+00:00,2019-06-17 12:29:06.509000+00:00
test-windows10-64/opt-mochitest-a11y-1proc,BNC04K4sSK2SXUE5TBt9gA,test,2019-06-17 11:19:43.468000+00:00,2019-06-17 11:27:28.205000+00:00
test-windows7-32/opt-web-platform-tests-reftests-e10s-2,BOLX5WViTBW8QFZ5vdODmQ,test,2019-06-17 11:19:26.924000+00:00,2019-06-17 11:40:24.403000+00:00
test-linux64-asan/opt-gtest-1proc,BOzwtTKoSOGuS1iBSuKI3g,test,2019-06-17 10:45:15.362000+00:00,2019-06-17 11:04:03.369000+00:00
test-android-em-4.3-arm7-api-16/debug-geckoview-junit-e10s-1,BQ8wreAnTuOfC0XPOX6yxw,test,2019-06-17 10:48:19.074000+00:00,2019-06-17 11:24:51.954000+00:00
test-windows10-64/debug-mochitest-devtools-chrome-e10s-1,BQCHM_h7QQqzUOB4KBY3oQ,test,2019-06-17 11:28:14.398000+00:00,2019-06-17 11:56:41.368000+00:00
test-android-em-4.3-arm7-api-16/opt-mochitest-1proc-19,BQQJs3CmTvyRnDay9r-MaQ,test,2019-06-17 11:13:56.371000+00:00,2019-06-17 12:02:19.042000+00:00
test-macosx1014-64-shippable/opt-raptor-tp6-7-firefox-e10s,BQW2Fh-cSD6ml7QKeq0fRA,test,2019-06-17 11:25:05.920000+00:00,2019-06-17 11:33:02.961000+00:00
test-linux64-ccov/debug-test-coverage-wpt-e10s,BR4upwnJQ9eIeYv-v6VWpA,test,2019-06-17 11:07:22.233000+00:00,2019-06-17 11:13:45.157000+00:00
test-windows10-aarch64/opt-gtest-1proc,BRXWLCzoTCSSPJDofrsW4w,test,2019-06-17 11:20:04.922000+00:00,2019-06-17 11:34:26.949000+00:00
test-windows10-aarch64/opt-mochitest-chrome-1proc-3,BS2zkcY7TQmoVSpw8c3haQ,test,2019-06-17 11:20:05.155000+00:00,2019-06-17 11:38:36.773000+00:00
test-linux64-asan-qr/opt-reftest-e10s-3,BU2VoTQvS2mWS68tRDJgtA,test,2019-06-17 10:46:16.089000+00:00,2019-06-17 11:22:14.088000+00:00
test-windows7-32-shippable/opt-raptor-tp6-8-firefox-e10s,BVV8PxwpTN69BxTgoLeiIw,test,2019-06-17 11:51:34.699000+00:00,2019-06-17 11:59:10.062000+00:00
test-linux64/opt-firefox-ui-functional-remote-e10s,BWfxJ35LRWGiU10-yJumTw,test,2019-06-17 10:56:56.967000+00:00,2019-06-17 11:03:46.338000+00:00
test-linux64/debug-mochitest-chrome-1proc-2,BXFy4KH8S260eqlgZthPyg,test,2019-06-17 10:59:48.816000+00:00,2019-06-17 11:30:24.129000+00:00
test-android-em-4.3-arm7-api-16/opt-reftest-1proc-12,BXmXZlvbSiW9ZeFr-nhoxQ,test,2019-06-17 11:14:04.453000+00:00,2019-06-17 11:53:10.686000+00:00
test-macosx1014-64-shippable-qr/opt-reftest-e10s-3,BY77G8vaSv23bEwrFkpGGw,test,2019-06-17 11:25:06.053000+00:00,2019-06-17 11:34:33.749000+00:00
test-linux64/opt-web-platform-tests-reftests-e10s-2,BZV-AwaOQIOapEUAu02Vgw,test,2019-06-17 10:54:28.454000+00:00,2019-06-17 11:21:58.277000+00:00
test-macosx1014-64-shippable/opt-raptor-tp6-4-firefox-profiling-e10s,BZiAGujHSjyuR2D-C0Y1jA,test,2019-06-17 11:25:06.308000+00:00,2019-06-17 11:29:19.459000+00:00
test-linux64-asan/opt-web-platform-tests-e10s-3,BZppeo-MTUim8lmL7nsVyQ,test,2019-06-17 10:45:24.376000+00:00,2019-06-17 12:10:05.998000+00:00
test-android-hw-p2-8-0-android-aarch64/opt-raptor-tp6m-8-geckoview-e10s,BZzwdKg0QOizxWtZvBJE4Q,test,2019-06-17 10:57:30.268000+00:00,2019-06-17 11:06:06.389000+00:00
test-windows10-64-qr/debug-web-platform-tests-reftests-e10s-4,B_upfimLRV6nVobCXt_XQw,test,2019-06-17 11:39:08.826000+00:00,2019-06-17 12:15:58.313000+00:00
